BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
54541	Q  	O2[+WA] Adv O3 P O1 Verb Aux S[+WH] ka            	
54542	Q  	O2[+WA] O1 Verb Aux S[+WH] ka                     	
54543	Q  	O2[+WA] O3 P O1 Verb Aux S[+WH] ka                	
55668	Q  	O2[+WH][+WA] Adv O1 Verb Not Aux S ka             	
55670	Q  	O2[+WH][+WA] Adv O3 P O1 Verb Not Aux S ka        	
55672	Q  	O2[+WH][+WA] O1 Verb Not Aux S ka                 	
55674	Q  	O2[+WH][+WA] O3 P O1 Verb Not Aux S ka            	
55676	Q  	O2[+WH][+WA] Adv O1 Verb Never Aux S ka           	
55678	Q  	O2[+WH][+WA] Adv O3 P O1 Verb Never Aux S ka      	
55680	Q  	O2[+WH][+WA] O1 Verb Never Aux S ka               	
55682	Q  	O2[+WH][+WA] O3 P O1 Verb Never Aux S ka          	
55716	Q  	O2[+WH][+WA] Adv O1 Verb Aux S ka                 	
55718	Q  	O2[+WH][+WA] Adv O3 P O1 Verb Aux S ka            	
55720	Q  	O2[+WH][+WA] O1 Verb Aux S ka                     	
55722	Q  	O2[+WH][+WA] O3 P O1 Verb Aux S ka                	
63060	Q  	O3[+WA] Adv P O1[+WH] Verb Not Aux S ka           	
63062	Q  	O3[+WA] Adv P O2 O1[+WH] Verb Not Aux S ka        	
63064	Q  	O3[+WA] Adv P O2[+WH] O1 Verb Not Aux S ka        	
63066	Q  	O3[+WA] Adv[+WH] P O1 Verb Not Aux S ka           	
63068	Q  	O3[+WA] Adv[+WH] P O2 O1 Verb Not Aux S ka        	
63070	Q  	O3[+WA] Adv[+WH] P Verb Not Aux S ka              	
63072	Q  	O3[+WA] P O1[+WH] Verb Not Aux S ka               	
63074	Q  	O3[+WA] P O2 O1[+WH] Verb Not Aux S ka            	
63076	Q  	O3[+WA] P O2[+WH] O1 Verb Not Aux S ka            	
63078	Q  	O3[+WA] Adv P O1[+WH] Verb Never Aux S ka         	
63080	Q  	O3[+WA] Adv P O2 O1[+WH] Verb Never Aux S ka      	
63082	Q  	O3[+WA] Adv P O2[+WH] O1 Verb Never Aux S ka      	
63084	Q  	O3[+WA] Adv[+WH] P O1 Verb Never Aux S ka         	
63086	Q  	O3[+WA] Adv[+WH] P O2 O1 Verb Never Aux S ka      	
63088	Q  	O3[+WA] Adv[+WH] P Verb Never Aux S ka            	
63090	Q  	O3[+WA] P O1[+WH] Verb Never Aux S ka             	
63092	Q  	O3[+WA] P O2 O1[+WH] Verb Never Aux S ka          	
63094	Q  	O3[+WA] P O2[+WH] O1 Verb Never Aux S ka          	
63168	Q  	O3[+WA] Adv P O1[+WH] Verb Aux S ka               	
63170	Q  	O3[+WA] Adv P O2 O1[+WH] Verb Aux S ka            	
63172	Q  	O3[+WA] Adv P O2[+WH] O1 Verb Aux S ka            	
63174	Q  	O3[+WA] Adv[+WH] P O1 Verb Aux S ka               	
63176	Q  	O3[+WA] Adv[+WH] P O2 O1 Verb Aux S ka            	
63178	Q  	O3[+WA] Adv[+WH] P Verb Aux S ka                  	
63180	Q  	O3[+WA] P O1[+WH] Verb Aux S ka                   	
63182	Q  	O3[+WA] P O2 O1[+WH] Verb Aux S ka                	
63184	Q  	O3[+WA] P O2[+WH] O1 Verb Aux S ka                	
